,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,In_nascent_v0,keyword,IsGRO-seq (TRUE or FALSE),keyword
ERR039507,8/28/12 23:00,5/31/14 21:20,25761353,901647355,0,35,808,,https://sra-download.ncbi.nlm.nih.gov/traces/era0/ERR/ERR039/ERR039507,ERX016682,Rseq11,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,ERP000796,PRJEB2620,,204171,ERS043429,SAMEA1484683,simple,9606,Homo sapiens,E-MTAB-742:Rseq11,,,,,,,no,,,,,YALE CENTER FOR GENOMIC ANALYSIS,ERA040358,,public,2DE5BE07F95B4758D753DCEC9A22BDDA,D2B5DB8A080EFB4567332251A54977DE,FALSE,,,
ERR039508,8/28/12 23:00,5/31/14 21:20,23924283,837349905,0,35,782,,https://sra-download.ncbi.nlm.nih.gov/traces/era0/ERR/ERR039/ERR039508,ERX016683,Rseq1_R1,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,ERP000796,PRJEB2620,,204171,ERS043430,SAMEA1484684,simple,9606,Homo sapiens,E-MTAB-742:Rseq1_R1,,,,,,,no,,,,,YALE CENTER FOR GENOMIC ANALYSIS,ERA040358,,public,192C934EE2014971CE9193891904C805,303CED526AA2640F0D4004C75106058F,FALSE,,,
ERR039509,8/28/12 23:00,5/31/14 21:20,26021933,910767655,0,35,826,,https://sra-download.ncbi.nlm.nih.gov/traces/era0/ERR/ERR039/ERR039509,ERX016681,Rseq1_R2,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,ERP000796,PRJEB2620,,204171,ERS043428,SAMEA1484686,simple,9606,Homo sapiens,E-MTAB-742:Rseq1_R2,,,,,,,no,,,,,YALE CENTER FOR GENOMIC ANALYSIS,ERA040358,,public,9FD1D133495930DAFA0DB74BE617C4AA,869BD75D4BFB6E47C8F770FE96CF9603,FALSE,,,
ERR039510,8/28/12 23:00,5/31/14 21:20,23243767,790288078,0,34,765,,https://sra-download.ncbi.nlm.nih.gov/traces/era0/ERR/ERR039/ERR039510,ERX016680,Rseq21,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,ERP000796,PRJEB2620,,204171,ERS043427,SAMEA1484685,simple,9606,Homo sapiens,E-MTAB-742:Rseq21,,,,,,,no,,,,,YALE CENTER FOR GENOMIC ANALYSIS,ERA040358,,public,735F6E95CB5618970EF1BCE8B6CB62B6,51BB97ED60CFE259D24436EB92635B9C,FALSE,,,
ERR1817225,2/6/17 12:28,2/7/17 8:15,34788246,1669835808,0,48,1022,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR1817/ERR1817225,ERX1879804,Sample 1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP021327,PRJEB19325,,371343,ERS1543510,SAMEA79046668,simple,9606,Homo sapiens,E-MTAB-5490:Sample 1,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,ERA807854,,public,9471EF547D452F79BD0155723EC65527,99661225C5C0E32A5FA20AF7B6644F02,FALSE,,,
ERR1817226,2/6/17 12:28,2/7/17 8:15,35301223,1694458704,0,48,1051,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR1817/ERR1817226,ERX1879805,Sample 2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP021327,PRJEB19325,,371343,ERS1543511,SAMEA79047418,simple,9606,Homo sapiens,E-MTAB-5490:Sample 2,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,ERA807854,,public,CE3A9DDB9EBDDD0DAFFCCF8125E35017,5D25F59A55C4B05AE516E516185062E2,FALSE,,,
ERR1830509,2/21/17 15:18,2/23/17 4:32,62399971,3119998550,0,50,2132,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR1830/ERR1830509,ERX1892485,Rpb2-FLAG_glu_repeat1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP014630,PRJEB13094,,352174,ERS1555995,SAMEA88410418,simple,4932,Saccharomyces cerevisiae,E-MTAB-45681487005959:Rpb2-FLAG_glu_repeat1,,,,,,,no,,,,,H. Fischl,ERA812844,,public,A18AD5CF80F973467D9F45A79D0A282C,A6B9C8536D1B9BE3EFB1D9E7121FD6C7,FALSE,,,
ERR1830510,2/21/17 15:18,2/23/17 4:29,27766336,1388316800,0,50,1005,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR1830/ERR1830510,ERX1892486,Sequential_IP_No-HA-tag_Rpb3-FLAG_glu_repeat1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP014630,PRJEB13094,,352174,ERS1555996,SAMEA88411168,simple,4932,Saccharomyces cerevisiae,E-MTAB-45681487005959:Sequential_IP_No-HA-tag_Rpb3-FLAG_glu_repeat1,,,,,,,no,,,,,H. Fischl,ERA812844,,public,EC7E473E34D2376EA00A81A146A49BEA,50422F60894614B736DD24DA05209139,FALSE,,,
ERR1830511,2/21/17 15:18,2/23/17 4:27,10009110,500455500,0,50,311,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR1830/ERR1830511,ERX1892486,Sequential_IP_No-HA-tag_Rpb3-FLAG_glu_repeat1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP014630,PRJEB13094,,352174,ERS1555996,SAMEA88411168,simple,4932,Saccharomyces cerevisiae,E-MTAB-45681487005959:Sequential_IP_No-HA-tag_Rpb3-FLAG_glu_repeat1,,,,,,,no,,,,,H. Fischl,ERA812844,,public,B360D9E5D89C065A7E73A5A9E19D9638,9641DD61A84905F6A86581C51B865262,FALSE,,,
ERR1830512,2/21/17 15:18,2/23/17 4:42,74002431,3700121550,0,50,2621,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR1830/ERR1830512,ERX1892487,Sequential_IP_Paf1-HA_glu_repeat1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP014630,PRJEB13094,,352174,ERS1555997,SAMEA88411918,simple,4932,Saccharomyces cerevisiae,E-MTAB-45681487005959:Sequential_IP_Paf1-HA_glu_repeat1,,,,,,,no,,,,,H. Fischl,ERA812844,,public,5797D08C6A8E1A6DAE5C79A71713E2DB,3474B54A760C2395D3C6DF0C342F6857,FALSE,,,
